date,factor_name,ic,p_value
2025-05-01,quality,-0.07628737728830007,0.08869191946135888
2025-06-01,quality,-0.02719951073224899,0.5443956143092608
2025-07-01,quality,-0.07724731950025272,0.08473974069300537
2025-08-01,quality,0.027487458832420972,0.5401414091041215
2025-09-01,quality,-0.01815090553281789,0.6858619994191701
2025-10-01,quality,-0.08037877723147191,0.07253714615924846
2025-11-01,quality,0.03952705790282935,0.37778523066909175
2025-12-01,quality,-0.02950341684599554,0.510404125341301
2026-01-01,quality,-0.06369083534908171,0.1550117534401486
2026-02-01,quality,-0.0676159553321703,0.13107331095378802
2024-11-01,size,0.3706293706293707,0.23562100351264567
2024-12-01,size,-0.08866995073891626,0.6536544624190209
2025-01-01,size,-0.07030021358024395,0.13050851306223185
2025-02-01,size,0.04479175323827276,0.3199632877129696
2025-03-01,size,-0.15153863519626098,0.000691723707906555
2025-04-01,size,-0.01932694304271193,0.666694740116047
2025-05-01,size,-0.006308230919670666,0.888215020371885
2025-06-01,size,0.13760852156381492,0.0020637505476531924
2025-07-01,size,0.10781650047082114,0.01597767296515008
2025-08-01,size,-0.07154424511673949,0.1104407344502704
2025-09-01,size,-0.06845044305478426,0.12675509914567057
2025-10-01,size,0.14333544196827389,0.0013253489423568465
2025-11-01,size,-0.0013325928966366467,0.9763117122552811
2025-12-01,size,0.058806963324238834,0.18969269021732885
2026-01-01,size,0.09996222384889539,0.02540225735723538
2026-02-01,size,-0.11417661670646681,0.010617648561023929
2024-11-01,value,0.2377622377622378,0.45680085263992326
2024-12-01,value,-0.4094143404488232,0.030503481953161417
2025-01-01,value,0.05061347261295848,0.27659322358102734
2025-02-01,value,0.19357806879029293,1.4441324663801892e-05
2025-03-01,value,-0.30207470770490585,5.753024511917228e-12
2025-04-01,value,-0.11225888191464575,0.012096360592210548
2025-05-01,value,0.07229031731632705,0.10676530368317114
2025-06-01,value,0.06788806856547158,0.12991201936046679
2025-07-01,value,0.26004848250718304,3.7193317623878825e-09
2025-08-01,value,-0.006958881618659005,0.8767727032383654
2025-09-01,value,0.0012353381461718618,0.978040068790272
2025-10-01,value,0.19114373324963177,1.717113633328822e-05
2025-11-01,value,0.1243951034599319,0.005392147147668953
2025-12-01,value,0.11376053311442162,0.010987213663526932
2026-01-01,value,0.07489479557918231,0.09435543623158127
2026-02-01,value,0.18190277561110244,4.286420571669639e-05
2022-03-01,volatility,0.38665765436412775,5.4212434962224485e-19
2022-04-01,volatility,-0.04540381344790864,0.3138804103053589
2022-05-01,volatility,0.507645934961124,1.0223369579034647e-33
2022-06-01,volatility,-0.4789480620650482,1.0806678390081579e-29
2022-07-01,volatility,0.023250713418178484,0.6058141372194068
2022-08-01,volatility,0.1652349865279735,0.0002221801452713233
2022-09-01,volatility,-0.124440979160754,0.005564099129782677
2022-10-01,volatility,-0.04518954298967198,0.31568013253969757
2022-11-01,volatility,0.36080005724609815,1.1537328451226171e-16
2022-12-01,volatility,-0.5815737962272949,3.922799223389596e-46
2023-01-01,volatility,-0.06745218143447976,0.13357553937768105
2023-02-01,volatility,-0.011175903040521091,0.803918593900542
2023-03-01,volatility,0.26175476960141975,3.2520161069728775e-09
2023-04-01,volatility,-0.208293815308308,2.887945718143793e-06
2023-05-01,volatility,-0.2946712258893957,2.1521551459632983e-11
2023-06-01,volatility,-0.34637472272229963,1.9921482647862906e-15
2023-07-01,volatility,0.05628321093961842,0.21081919915989442
2023-08-01,volatility,0.16213463044840834,0.00028804937269501755
2023-09-01,volatility,0.3459328494786674,2.173408537737918e-15
2023-10-01,volatility,-0.4023286447416672,1.0092048186128684e-20
2023-11-01,volatility,-0.39446438105312226,6.476777750727008e-20
2023-12-01,volatility,0.14303594737429015,0.0013877030322393261
2024-01-01,volatility,-0.2012471107428162,6.138946020858369e-06
2024-02-01,volatility,-0.19237333100299225,1.5725394778539356e-05
2024-03-01,volatility,0.14425294094848887,0.0012611082795345736
2024-04-01,volatility,-0.0735998340607068,0.10123628368110114
2024-05-01,volatility,-0.0019115590588822053,0.9660594340667253
2024-06-01,volatility,0.13783949477283688,0.002049162255511036
2024-07-01,volatility,0.1838394364233457,3.667834606137604e-05
2024-08-01,volatility,-0.2212612067806938,6.126624863259328e-07
2024-09-01,volatility,-0.010071635128508359,0.8226027553742618
2024-10-01,volatility,-0.12973964888614073,0.0036939976764257597
2024-11-01,volatility,-0.012418863019423292,0.7819864170366813
2024-12-01,volatility,-0.12515414265609306,0.005114438891210512
2025-01-01,volatility,0.4298657628186046,7.372938453905874e-24
2025-02-01,volatility,0.4578887442595829,3.133609167480482e-27
2025-03-01,volatility,-0.12085908442202867,0.006761468866568379
2025-04-01,volatility,-0.4113654068544184,7.0122537292764e-22
2025-05-01,volatility,-0.5626418249362118,3.609219485383441e-43
2025-06-01,volatility,-0.22667113136362688,2.9313810022936374e-07
2025-07-01,volatility,-0.07072220764712137,0.11387728782127966
2025-08-01,volatility,-0.08118687897355296,0.06942142278055559
2025-09-01,volatility,-0.2994386620108673,7.742033268306188e-12
2025-10-01,volatility,0.1525803187404315,0.0006108199816266119
2025-11-01,volatility,-0.20464737945576694,3.871734650401325e-06
2025-12-01,volatility,0.021065777359830538,0.6380761765740901
2026-01-01,volatility,0.09111240181011165,0.04149804379897273
2026-02-01,volatility,0.22767603568313408,2.5185319257075664e-07
